Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,1.3818867974925632e+23,,15051421,1656607953,0xf5abbdc7bbb760601fb299e673dddeddde00cda9e856e12c2cc875caa5578969,0x134b58a2854cd11cd31f1ae270d52bb4ee018b4f,23,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,520000000000000000000000,3697,54,0,4,0,4,0,1262547809298968179412399,0,1262547809298968179412399,1656521994,1656522008,1656767087,0xfb3bd022d5dacf95ee28a6b07825d4ff9c5b3814,1.3e+25,0.010629898442250487
FOR,1.2697099865722506e+21,,15052148,1656618352,0xecbbf2181b8757bd1a079ba8bdfaaa629fad1bd9d6ad597c5fed3276448840dd,0xf035561dce033ded865e15e69db06cffc88d9213,23,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,520000000000000000000000,3697,54,0,4,0,4,0,1262547809298968179412399,0,1262547809298968179412399,1656521994,1656522008,1656767087,0xfb3bd022d5dacf95ee28a6b07825d4ff9c5b3814,1.3e+25,9.766999896709621e-05
FOR,1.757830330098978e+23,,15057832,1656695211,0x66c984bff2c98b1a0e9ac847c0168941f4767d756adf4cc6da0eb685fc229fcc,0xfb3bd022d5dacf95ee28a6b07825d4ff9c5b3814,23,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,520000000000000000000000,3697,54,0,4,0,4,0,1262547809298968179412399,0,1262547809298968179412399,1656521994,1656522008,1656767087,0xfb3bd022d5dacf95ee28a6b07825d4ff9c5b3814,1.3e+25,0.013521771769992138
FOR,8.699068797518858e+22,,15397692,1661272105,0xe8fa145d2bb95abf49c4ab22bb9d8450e87519d141c788711342a15b96640990,0x134b58a2854cd11cd31f1ae270d52bb4ee018b4f,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,520000000000000000000000,3726,56,0,6,0,6,0,376908232355516137791368,0,376908232355516137791368,1661187076,1661187082,1661425171,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.006691591382706814
FOR,5.777184335788347e+21,,15391926,1661193507,0xae2e16946866b3d27e96e59882608f855bce395fd7c9297e06ebf8be5a5bfca6,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,520000000000000000000000,3726,56,0,6,0,6,0,376908232355516137791368,0,376908232355516137791368,1661187076,1661187082,1661425171,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.0004443987950606421
FOR,1.083573270346414e+23,,15401072,1661318782,0xac93bd4054a710313717a303583af346d2efe49f0fe8a413360b824ded859ad3,0x5bcfc2dee33fbd19771d4063c15cfb6dd555bb4c,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,520000000000000000000000,3726,56,0,6,0,6,0,376908232355516137791368,0,376908232355516137791368,1661187076,1661187082,1661425171,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.008335179002664724
FOR,0.0,,15401510,1661325090,0xfe791f85642de329af7cc43cf5ab7b4b388ed7e260aed9854b29a5bf7c99d747,0x9c39a2e1e124bda611321494ec99cc8c01e0731d,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,520000000000000000000000,3726,56,0,6,0,6,0,376908232355516137791368,0,376908232355516137791368,1661187076,1661187082,1661425171,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.0
FOR,0.0,,15406134,1661388556,0x0254538812ccdf98b966f4e45ccf97c7d3de2c23eb81c18cbedd5ce535f62644,0xd08b7e82942fac71d96fecaa99ed7323a95d9a79,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,520000000000000000000000,3726,56,0,6,0,6,0,376908232355516137791368,0,376908232355516137791368,1661187076,1661187082,1661425171,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.0
FOR,1.757830330098978e+23,,15407789,1661412354,0x53b8a29971c222975dfea330464985f0880e921a7b1c9651cd50199835d35688,0xfb3bd022d5dacf95ee28a6b07825d4ff9c5b3814,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,520000000000000000000000,3726,56,0,6,0,6,0,376908232355516137791368,0,376908232355516137791368,1661187076,1661187082,1661425171,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.013521771769992138
FOR,1.0321884626800615e+23,,14399818,1647463372,0x74499426e65ee3a7f0056ad906adf32cedefafb918b5f0172b01454c8dc6e0d3,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c,19,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,520000000000000000000000,3726,57,0,3,0,3,0,957034788087898985663023,0,957034788087898985663023,1647427914,1647427936,1647660524,0xe8ea8bae250028a8709a3841e0ae1a44820d677b,1.3e+25,0.007939911251385089
