id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao
0x005fa2741421824cdc8aceb39687d80746ad647f-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,353807117808426,,14932629,1654778157,0x12bf7c80f5502b136b42f8125873690525f0e28e916285092b9f4473d9d7dde9,0x005fa2741421824cdc8aceb39687d80746ad647f,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x0562dfe2a79173accfdec3539d0f679e1e961516-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,75000000000000,,14929169,1654727176,0xb6e5b035a54fbff449dceabed2c881755398972e35b40c7974b6dd676cef423a,0x0562dfe2a79173accfdec3539d0f679e1e961516,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x0562dfe2a79173accfdec3539d0f679e1e961516-36746427509512986147276791604636538742560015378946296127726232188685718540244,FOR,75000000000000,,15027447,1656221525,0xb2fa06e6c49d9d38b571d82f90d33047d6189e2207ac3bca347a57fda55085a2,0x0562dfe2a79173accfdec3539d0f679e1e961516,36746427509512986147276791604636538742560015378946296127726232188685718540244,Truefi
0x133d93566f9699b3af46fe150daa8a67a9563ed6-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,104084076867450,,14933850,1654796485,0x0d87fb6d946ad5bc8df0de22642fddafc608c2bc5d054d1045eb358b41f34025,0x133d93566f9699b3af46fe150daa8a67a9563ed6,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x150ecbf32de2fa5736fe0e0be4c69be2999b65a5-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,1500000000188959,,14940022,1654886974,0xbad8bfc4970c8577dc7c9cf48b4e66740656657a133c93ad4988bc7bf7cfa02e,0x150ecbf32de2fa5736fe0e0be4c69be2999b65a5,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x150ecbf32de2fa5736fe0e0be4c69be2999b65a5-36746427509512986147276791604636538742560015378946296127726232188685718540244,FOR,1500000000188959,,15019145,1656087227,0xd12e24e34c45634ae3c1605bf812fd1d4b6860e53d18b599da9276b8ff182009,0x150ecbf32de2fa5736fe0e0be4c69be2999b65a5,36746427509512986147276791604636538742560015378946296127726232188685718540244,Truefi
0x1cf9eb4e3e69196d40aca6f699aff73b8b70a2c1-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,11950000000000,,14939716,1654882321,0x5b8469ed2b2ba37f4fed78dd7c5924f7bb2a10b26e0c93d239d8946787d806c2,0x1cf9eb4e3e69196d40aca6f699aff73b8b70a2c1,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x25eb8e48af083b7db8e590cfc56eea2ad1306e52-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,441051375585458,I'm voting for this proposal because I believe the DAO should own and run its own liquidity pools.,14929169,1654727176,0x8bcdabd1cd5bd9cbeb31310f79c4827faf9bb92e25d8e6311ea1dcb16f6002a1,0x25eb8e48af083b7db8e590cfc56eea2ad1306e52,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x25eb8e48af083b7db8e590cfc56eea2ad1306e52-36746427509512986147276791604636538742560015378946296127726232188685718540244,FOR,792421151747224,,15034875,1656340885,0x26be6a203d5d5d6b6df493c5f5265fc2194ceaeba46a7ece40005453ccb8c0d9,0x25eb8e48af083b7db8e590cfc56eea2ad1306e52,36746427509512986147276791604636538742560015378946296127726232188685718540244,Truefi
0x2a06913d5b8748b222e1236768c24ca19198b374-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,0,,14934457,1654805260,0xefafae7f6c3971369ec42f4565dd8e8d249cad1899e9a9f3d7d80cd549ccb814,0x2a06913d5b8748b222e1236768c24ca19198b374,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x2a07fb545fba4740ec3639b4ba3999cb8b4e4035-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,1567900810649,,14940143,1654888930,0x2e1915a5e16468823b38128f47992c082a6051711d29ff11904f2b04f6d7ff4f,0x2a07fb545fba4740ec3639b4ba3999cb8b4e4035,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x2bbde8e38badf38603c8c66869faeb0117bfb1bf-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,4643682688698218,LFG,14939916,1654885262,0xf1c90353d712ab584ea579397a8ddbb559c753178566cc75565f41c9b0bc6586,0x2bbde8e38badf38603c8c66869faeb0117bfb1bf,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x2bbde8e38badf38603c8c66869faeb0117bfb1bf-36746427509512986147276791604636538742560015378946296127726232188685718540244,FOR,4643682688698218,LFG,15029317,1656251941,0x2588c3c1a1e04b7f145b233936b4a0d2897f0ed0cfd3bea6525580a2053876da,0x2bbde8e38badf38603c8c66869faeb0117bfb1bf,36746427509512986147276791604636538742560015378946296127726232188685718540244,Truefi
0x46dfcbc2afd5dd8789ef0737fedb03489d33c428-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,16764735725303,,14929154,1654726999,0x19f2d95e2f0e4e65da01a127247eb5f53bd1ff032dbc31d6214f9b9f8e4001bd,0x46dfcbc2afd5dd8789ef0737fedb03489d33c428,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x46dfcbc2afd5dd8789ef0737fedb03489d33c428-36746427509512986147276791604636538742560015378946296127726232188685718540244,FOR,16764735725303,,15018917,1656083582,0x758dd84de83c43c3de9fbbfadceb9a463aa13a762fe7bc901ad19541220b9821,0x46dfcbc2afd5dd8789ef0737fedb03489d33c428,36746427509512986147276791604636538742560015378946296127726232188685718540244,Truefi
0x51ae5a026d6adf7d33f7c215cdd893866020aba2-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,0,LFG!!,14929162,1654727092,0x32cb2f8e88d0b2a01c9d3b0e2113e7051b265b99c970a46bc30ea52834a6c8ce,0x51ae5a026d6adf7d33f7c215cdd893866020aba2,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
0x6cb8b655ce4d6996d8dbf3d830c548383d2499d6-36746427509512986147276791604636538742560015378946296127726232188685718540244,FOR,10000000000,,15035630,1656353670,0xf9e31b84be7f77231c9ed21c28909044ae57f6f848e8c5d565d7c9f86ed298ba,0x6cb8b655ce4d6996d8dbf3d830c548383d2499d6,36746427509512986147276791604636538742560015378946296127726232188685718540244,Truefi
0x844850092711b0ebbb75f6fa8b65561d4811d61d-32137011153032438281350136128034661202026790869146491991828132207554601395947,FOR,8318521933551,,14937812,1654855226,0xa08fd653c1acfa39ffcb1e15cbcc011d4dca2a0d467d329ef02c17cccefbe456,0x844850092711b0ebbb75f6fa8b65561d4811d61d,32137011153032438281350136128034661202026790869146491991828132207554601395947,Truefi
