Unnamed: 0,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
11,Gitcoin,m6cat.eth,0xdb95d92ab6c7cbe8e95ed07d52ff3147ea015aac,FOR,1.1e+19,16051358,1669431887,0x783999765d2acca8fa1921b83c3fdafca50b9394fa730bd1b0929ff34433c069,11.0,1.1e+19,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.1e-07
12,Gitcoin,m6cat.eth,0xdb95d92ab6c7cbe8e95ed07d52ff3147ea015aac,FOR,1.1e+19,16051363,1669431947,0xbe91216a9354831b769bbfc45147408f1327c3d16f3f1102ed02321517a18165,11.0,1.1e+19,1.0,40,EXECUTED,2500000000000000000000000,23743,6102,11,155,0,166,1352012469392765044565746,2908994598819546884286874,0,4261007068212311928852620,1669002827,16028971.0,16069291.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.1e-07
13,Gitcoin,qq333.eth,0xb5564b1a37d52fee291081964973eac0e9f08dee,FOR,1.1e+19,16051388,1669432247,0xbe1a5b1a48867cdc1ed6c2482f97f15c0982aeba808e705cfa3e56295bfb9826,11.0,1.1e+19,1.0,40,EXECUTED,2500000000000000000000000,23743,6102,11,155,0,166,1352012469392765044565746,2908994598819546884286874,0,4261007068212311928852620,1669002827,16028971.0,16069291.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.1e-07
14,Gitcoin,qq333.eth,0xb5564b1a37d52fee291081964973eac0e9f08dee,FOR,1.1e+19,16051392,1669432295,0x549837ad81bffa0dd291be07c8f48d56138674a3f65f11d261cfc3ef3237fd9f,11.0,1.1e+19,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.1e-07
15,Gitcoin,seeoo.eth,0x134046017c21c6afa2d1f0061e97c8febe668385,FOR,1.0021520309159516e+18,16051989,1669439483,0x5db43038c561fd27607f951d7d1a5db15564bb47279a288ef8b5dc02516ec6bf,1.0021520309159515,1.0021520309159516e+18,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1e-08
16,Gitcoin,casea.eth,0x7d55507f7d96b373706c0131fffbc4ffdcb3b6f6,FOR,2.062016743152134e+18,16052093,1669440743,0xcf34886c6401dba6f30363044483fc29717f6a611fb867d4715a4453d1348120,2.0620167431521343,2.062016743152134e+18,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,2.06e-08
17,Gitcoin,casea.eth,0x7d55507f7d96b373706c0131fffbc4ffdcb3b6f6,FOR,2.062016743152134e+18,16052096,1669440779,0xd9efc1101e95577b0348ff32f3ad9acb861f2a6c5d12e9d23024cdfe91930e42,2.0620167431521343,2.062016743152134e+18,1.0,42,ACTIVE,2500000000000000000000000,23974,6125,1,118,0,119,13860407315054524875,6923944978621854519715519,0,6923958839029169574240394,1669272671,16051303.0,16091623.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,2.06e-08
18,Gitcoin,jntaoli.eth,0x63bab39b89a156cc528b374c0109b77b4e343b53,FOR,1.02e+18,16052137,1669441283,0x3338b0f8c0d404a3ba09315613246095c72a6e7d7725d2b6bdb302fda7f78afa,1.02,1.02e+18,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.02e-08
19,Gitcoin,jntaoli.eth,0x63bab39b89a156cc528b374c0109b77b4e343b53,FOR,1.02e+18,16052146,1669441391,0x77f1ae1efc60744147f520bb7e4ec8edc902015b150ca30524753b7f659598bb,1.02,1.02e+18,1.0,42,ACTIVE,2500000000000000000000000,23974,6125,1,118,0,119,13860407315054524875,6923944978621854519715519,0,6923958839029169574240394,1669272671,16051303.0,16091623.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.02e-08
20,Gitcoin,jackygao.eth,0x45452d8508356dc9619f23eab6932b4aab1946e6,FOR,1.4274515981234334e+19,16052380,1669444223,0x8b5c55efc87c21addd301af37a47c99e8f8535435d7a6e160bd45b837fb61e32,14.274515981234336,1.4274515981234334e+19,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.427e-07
21,Gitcoin,jackygao.eth,0x45452d8508356dc9619f23eab6932b4aab1946e6,FOR,1.4274515981234334e+19,16052392,1669444367,0x3f15a7f789ad1ab07c72e95f303dacf437cfbdfaf7775d33242e716ede5f6838,14.274515981234336,1.4274515981234334e+19,1.0,42,ACTIVE,2500000000000000000000000,23974,6125,1,118,0,119,13860407315054524875,6923944978621854519715519,0,6923958839029169574240394,1669272671,16051303.0,16091623.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.427e-07
22,Gitcoin,nancysun.eth,0xb89b619e3f6c35019d4be83e92e99e809af8ecb3,FOR,1.0553500000000016e+19,16052413,1669444619,0xfce1e722533c5181a450b4c747d9fe829c7371cdd9091485188d6be9e546f50c,10.553500000000016,1.0553500000000016e+19,1.0,41,ACTIVE,2500000000000000000000000,23965,6122,0,111,0,111,0,5603494788934465637293505,0,5603494788934465637293505,1669233071,16048030.0,16088350.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.055e-07
23,Gitcoin,nancysun.eth,0xb89b619e3f6c35019d4be83e92e99e809af8ecb3,FOR,1.0553500000000016e+19,16052418,1669444679,0x04ffcfead6ab5d2ba58c95547d12529fb967c5862b67d4f7a77aac04586884e1,10.553500000000016,1.0553500000000016e+19,1.0,42,ACTIVE,2500000000000000000000000,23974,6125,1,118,0,119,13860407315054524875,6923944978621854519715519,0,6923958839029169574240394,1669272671,16051303.0,16091623.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+26,1.055e-07
