Unnamed: 0,Unnamed: 0.1,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
11,11.0,AaveV2,136481.eth,0xcc0dcebdc0dfeec634f02297d8e16af8adea4aac,FOR,1.6117075415480723e+17,16046769,1669376495,0xf06082cef5484f77d275a39d0b341e5ab060d10b2fd18eb04c5d2c677d5d036e,0.16117075415480722,1.6117075415480723e+17,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,1.01e-08
12,12.0,AaveV2,136481.eth,0xcc0dcebdc0dfeec634f02297d8e16af8adea4aac,FOR,1.6117075415480723e+17,16046772,1669376531,0xec5cf2a8f7c7a87ab6a65f6e016332ba8ed6b8568626fc772154215bab22fcc5,0.16117075415480722,1.6117075415480723e+17,0.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,1.01e-08
13,13.0,AaveV2,,0xe2db8361d949c51143b04e44a87abf94d2bd1115,FOR,4.044441e+16,16046780,1669376627,0xaadcb762a2e23ff84901b429db709be0e45c828f75e86636bd6cd8fa09fc739e,0.04044441,4.044441e+16,1.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.5e-09
14,14.0,AaveV2,lvmh88.eth,0x7a2ab49f9111ba44b6a5c0442af61eee7e024642,FOR,4.2e+16,16046780,1669376627,0x61e8d20f6e65a407c02763ba547c4e1198f9e69516024d03f4f05454799c8a08,0.042,4.2e+16,2.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.6e-09
15,15.0,AaveV2,lvmh88.eth,0x7a2ab49f9111ba44b6a5c0442af61eee7e024642,FOR,4.2e+16,16046780,1669376627,0x417b487b7d88a1a79c1659927f70605bfdb1583242f1e169c5319ea3032f41f4,0.042,4.2e+16,2.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.6e-09
16,16.0,AaveV2,,0x387277be9d1b80d7a03832a0f4fcc4c0c3716eeb,FOR,4.21111e+16,16046780,1669376627,0xa42700de335e7b29be74abea4fcde402002a3856254f98909a255bb3e8ea4ca5,0.0421111,4.21111e+16,1.0,122,EXECUTED,320000000000000000000000,138858,125687,18,151,0,169,14056839166924856266,566995654574388015658020,0,567009711413554940514286,1669172807,16037108.0,16056308.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.6e-09
17,17.0,AaveV2,,0x75474e8dd088767a244b870533bc4ed03fbdaead,FOR,4.011148e+16,16046780,1669376627,0x95b4d77b9fb516d35c2fdd46a2226dbada5454f501570f7fe4539ad61162bd14,0.04011148,4.011148e+16,1.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.5e-09
18,18.0,AaveV2,,0x387277be9d1b80d7a03832a0f4fcc4c0c3716eeb,FOR,4.21111e+16,16046780,1669376627,0x324e47460d5763519f76877d340614dc7736a76fa83e9e4ed3cb5e59b6a63b3b,0.0421111,4.21111e+16,1.0,120,EXECUTED,320000000000000000000000,138559,125394,10,189,0,199,925566334431944141,521134091380543240733815,0,521135016946877672677956,1669088651,16030143.0,16049343.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.6e-09
19,19.0,AaveV2,prada100.eth,0x7982881ca314c82c8580ff9e9629266a2a509eef,FOR,4.6e+16,16046781,1669376639,0x44f4f33b2b4eec0f5a470e4e434c1409d635ecefa2646348f11594d6a0564a93,0.046,4.6e+16,1.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.9e-09
20,20.0,AaveV2,198957.eth,0xb277c76cdeb023518bfe1d8cfcb8964d3c91919a,FOR,3.9e+16,16046796,1669376819,0x00ef577085dff144ea47a77f643aa8bb14de386fd03c8d547aa89f275e7ac96e,0.039,3.9e+16,2.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.4e-09
