,Unnamed: 0,id,blocktime,forvotes,againstvotes,vote_rate,total_cap,circulating
56,70,99,2022-04-08 11:55:47,614123.3910634542,0.0,614123.3910634542,10000000,7157897
57,0,100,2022-04-15 15:23:00,125010.77758142707,321457.4514899717,446468.22907139885,10000000,7157897
58,1,101,2022-04-16 14:22:09,1065904.5763528654,0.0,1065904.5763528654,10000000,7157897
59,2,102,2022-04-22 10:41:42,0.0,0.0,0.0,10000000,7157897
60,3,103,2022-04-24 16:47:43,917350.2160299536,175917.12800965732,1093267.3440396108,10000000,7157897
61,4,104,2022-04-30 12:17:51,722387.6838318169,0.0,722387.6838318169,10000000,7157897
62,5,105,2022-05-08 15:28:07,0.0,0.0,0.0,10000000,7157897
63,6,106,2022-05-08 18:08:09,883476.9274393269,87585.24062753964,971062.1680668665,10000000,7157897
64,7,107,2022-05-22 14:21:31,472409.08338797133,697588.0813678865,1169997.164755858,10000000,7157897
65,8,108,2022-06-05 14:51:19,0.0,0.0,0.0,10000000,7157897
66,9,109,2022-06-12 13:45:09,546498.8316259604,0.0,546498.8316259604,10000000,7157897
67,10,110,2022-06-24 08:54:46,576169.3332204573,0.0,576169.3332204573,10000000,7157897
68,11,111,2022-06-26 16:01:59,814331.6059554964,0.0,814331.6059554964,10000000,7157897
69,12,112,2022-07-03 17:40:26,629329.008397104,0.0,629329.008397104,10000000,7157897
70,13,113,2022-07-11 15:25:09,912682.3097667887,0.0,912682.3097667887,10000000,7157897
