,Unnamed: 0,id,blocktime,forvotes,againstvotes,vote_rate,total_cap,circulating
90,106,91,2022-06-07 10:36:42,91.0,0.0,91.0,381,381
91,107,92,2022-06-07 10:41:57,5.0,45.0,50.0,381,381
92,108,93,2022-06-08 14:22:16,0.0,0.0,0.0,381,381
93,109,94,2022-06-08 18:22:29,20.0,0.0,20.0,381,381
94,110,95,2022-06-10 17:52:08,0.0,0.0,0.0,381,381
95,111,96,2022-06-12 19:24:35,54.0,83.0,137.0,381,381
96,112,97,2022-06-16 20:29:30,115.0,22.0,137.0,381,381
97,113,98,2022-06-20 06:55:26,127.0,0.0,127.0,381,381
98,114,99,2022-06-22 07:57:56,91.0,2.0,93.0,381,381
99,2,100,2022-06-26 09:07:18,129.0,1.0,130.0,381,381
100,3,101,2022-06-26 15:03:41,2.0,18.0,20.0,381,381
101,4,102,2022-06-30 13:02:18,134.0,0.0,134.0,381,381
102,5,103,2022-07-01 14:03:06,0.0,0.0,0.0,381,381
103,6,104,2022-07-01 22:58:06,39.0,89.0,128.0,381,381
104,7,105,2022-07-04 21:28:51,23.0,0.0,23.0,381,381
105,8,106,2022-07-06 11:25:53,132.0,1.0,133.0,381,381
106,9,107,2022-07-08 07:24:32,123.0,0.0,123.0,381,381
107,10,108,2022-07-10 09:59:15,126.0,1.0,127.0,381,381
108,11,109,2022-07-11 14:27:13,63.0,52.0,115.0,381,381
109,13,110,2022-07-11 15:30:08,52.0,33.0,85.0,381,381
110,14,111,2022-07-12 07:07:58,139.0,0.0,139.0,381,381
111,15,112,2022-07-13 17:36:00,0.0,0.0,0.0,381,381
112,16,113,2022-07-15 08:31:06,80.0,4.0,84.0,381,381
113,17,114,2022-07-15 12:26:46,42.0,0.0,42.0,381,381
114,18,115,2022-07-18 15:37:07,77.0,2.0,79.0,381,381
