id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
50162030097467957240858929287270422964132711578599454777185525955744917535782-19269,1177473386290404536451210,355032455244505227636875,1532505841534909764088085,1664921315,15677646,50162030097467957240858929287270422964132711578599454777185525955744917535782
50162030097467957240858929287270422964132711578599454777185525955744917535782-19270,7121775887757750947600125,843898227890920099071884,7965674115648671046672009,1665010067,15684983,50162030097467957240858929287270422964132711578599454777185525955744917535782
50162030097467957240858929287270422964132711578599454777185525955744917535782-19271,7124905195686709372821945,843898227890920099071884,7968803423577629471893829,1665043235,15687734,50162030097467957240858929287270422964132711578599454777185525955744917535782
