Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,3.917788105057374e+22,,13357160,1633411805,0xa53309d0327f90f30acff9f617ea073893d859bee5daae16529d7f1760cbb0bd,0x06b3ee4eb3f61d03f918e2942979e8333d5b52e9,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,3.917788105057374e-05
FOR,6.063321334643621e+21,,13381564,1633741546,0xf543d682b5320bbdec3a23aedfd8a561537313c4485b38063ac97101c811cb5e,0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,6.063321334643621e-06
FOR,1e+19,,13414767,1634193162,0x05bd6900487b3ab0888d8600db574ccbe8b5dbd3c6f0f0956709c135e4dbdb87,0x0780c0f6fcecc659d912730126a3f1e18ae36684,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1e-08
FOR,1.1650055719545357e+21,,13406279,1634076818,0xfdf68e3bde8b0326e9188f618867e55984c848b64a4327e95cd91f4e38903621,0x0860a74847ec4f3e1dc0cfbab41013eb90f69654,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.1650055719545357e-06
FOR,6.419717363273716e+21,,13381930,1633746759,0xc3ea61cda6b27da266ec8b720ea762a910ddecf7422b2eef9e4c2883be885b14,0x08ebfdb527eb9215e05cc5959aefaf68df0f7e76,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,6.419717363273716e-06
FOR,6.478833601778968e+21,,13351345,1633333478,0xde3283eb6336f854a18c0b1624078291438afa4d6821b2560db16b21c4f4d742,0x098091becc290848a31e79982ab6e5a393dbfa69,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,6.478833601778968e-06
FOR,1.164752556258764e+21,,13381904,1633746402,0xfeb1558272bb3445d17dd2b4a205ada59fa65555dea60d8ff0d1b13d4ed13c26,0x0a552e04f67dbe46a756f073b6df04fe5ad8ed23,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.164752556258764e-06
FOR,3e+20,,13383545,1633769279,0xedd959cea38a6e7592a81244c7ef50a6e776317479389a7a33f7e554cb812067,0x0b84da39d006c40322d04a10772f2f36118769f2,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,3e-07
FOR,2.4860515453813693e+22,,13384000,1633775472,0xa1e34e8a8a56d4be82dcfe039d46f92d147a30616952678e406900e3d31a0f56,0x0b9252f9503637aac94483497dce4f5a628ff5a8,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,2.486051545381369e-05
FOR,3e+21,,13392047,1633884056,0xe6264dc92df1b0af16d8ff1dc981b26025543f497079378c359e182e48f54d20,0x0bba9956e4daf62b142228c631af56a59946291a,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,3e-06
