,Date,Rate/total,Rate/circulating,Total tokens
0,20220101-20220131,,,
1,20220131-20220302,0.05069379658988219,0.06905237526655632,50693796.58988219
2,20220302-20220401,0.015357428925345524,0.020919067353777184,15357428.925345523
3,20220401-20220501,0.060517399436568024,0.08243356105003241,60517399.43656802
4,20220501-20220531,0.0,0.0,0.0
5,20220531-20220630,0.0,0.0,0.0
6,20220630-20220730,0.0713697691926683,0.09721607803119751,71369769.1926683
