choice,weight,voter.id
FOR,5164221915842609152,0x001dc27961f97a04bcecd829a12895ccf8ca3b3c
FOR,5999185787532386304,0x0049a94810c1a9df3b248a41c72b6de01c6536f6
FOR,0,0x00843213a104a752ec360108688979e378204137
FOR,5332925661105856512,0x0086aacadf181b168f94f9a637d56d5f87eaa36d
FOR,17597127063318083584,0x00df99e12315cac90f49527b07d753b7fe9faccd
FOR,5715332361134587904,0x0157455ebb035907b8d794a542764f5941b6cae9
FOR,5415607043896639488,0x01dd9673458f3581331f1880ab79497bf7f287ab
FOR,0,0x02766e3d25bda6badcd34d7bcea5bf054990444a
FOR,2000000000000000000,0x0279e4db6596933aab0d7d3a11c74b01fd44e344
FOR,2629872076482576384,0x039c7320956110b7e9e350d382a354d6ace8d2c0
FOR,1000000000000000000,0x03dd5a390f1cdd203f41bfc681a98e741f3e5ac3
FOR,0,0x046a65107b7f4ca5ba7742b928303c0f0917d843
FOR,0,0x049bc926899b3c35ff3787865d5041aa1ec815c3
FOR,0,0x04dd59e3a1e58f5ccc51ecec0db2a0817506e79c
FOR,0,0x04fda72d3a0dbbfa6793a604cedb5e5631750df2
FOR,0,0x056d6b0c371a05d309915fb746b7ad7bcf470135
FOR,0,0x0586fcc2d0d400596ff326f30debaa3a79e33c25
FOR,3000000000000000140,0x06c4865ab16c9c760622f19a313a2e637e2e66a2
FOR,0,0x06fb028ba0cb89f9b9049a066e784fd3b8662030
FOR,0,0x0813e1b0a5b1d0d67ceac68696591f5aecc613c7
FOR,0,0x082a7745762a21089d79b7ae877d77481adb823e
FOR,0,0x08309a845868301b64d90b3c3280c205329abe6a
FOR,118946751672932827136,0x0a1a354bfdf71f3da7353497b5d3917d3b19a81c
FOR,5495162663746191360,0x0a3c515b3b8e621f826089d4783554935d1cba40
FOR,5052787527948820480,0x0a4deea0d78599f79f346db7855e47cf250d1126
FOR,0,0x0a95d8ae3c78b779d5aff68764a195a6c634be92
FOR,5042193856808517632,0x0ad5881b80a756555b8ef9cb63074e72117422a0
FOR,5479375279799762944,0x0c5da262ba0567ed8a80dc13e98712e6e1e3e3be
FOR,0,0x0d802279a8c178750e5aa08c6eae97c4ac03aee5
FOR,5659893809681915904,0x0ddb19eb891791cc28a061690e6c5f5f0b9084b8
FOR,0,0x0f62d09cd84b4469f58e14c32180d1d7ffc5e87c
FOR,0,0x0f7e46d4a4397d06d43567c9f161ec2bba57cf8e
FOR,2899557140111548416,0x101aff216865f56e7653b2a0c6f714980606f072
