id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18961,1000000000000000000000000000,29,0,0,1638305673,13717024
18967,1000000000000000000000000000,30,0,0,1638801275,13752850
18970,1000000000000000000000000000,568,0,0,1639094300,13774067
18971,1000000000000000000000000000,749,0,0,1639179989,13780438
18972,1000000000000000000000000000,789,0,0,1639267098,13786981
18973,1000000000000000000000000000,827,0,0,1639352393,13793417
18974,1000000000000000000000000000,876,0,0,1639435149,13799643
18975,1000000000000000000000000000,894,0,0,1639524476,13806248
18976,1000000000000000000000000000,922,0,0,1639612727,13812864
18977,1000000000000000000000000000,957,0,0,1639696159,13819036
18978,1000000000000000000000000000,961,0,0,1639781706,13825428
18979,1000000000000000000000000000,968,0,0,1639867163,13831874
18980,1000000000000000000000000000,980,0,0,1639952951,13838260
18981,1000000000000000000000000000,985,0,0,1640042322,13845045
18982,1000000000000000000000000000,985,0,0,1640130425,13851628
18983,1000000000000000000000000000,989,0,0,1640214790,13857866
18984,1000000000000000000000000000,992,0,0,1640300865,13864305
18985,1000000000000000000000000000,995,0,0,1640390192,13870972
18986,1000000000000000000000000000,1003,0,0,1640474466,13877281
18987,1000000000000000000000000000,1009,0,0,1640560801,13883743
18988,1000000000000000000000000000,1117,0,0,1640649393,13890376
18989,1000000000000000000000000000,1252,0,0,1640735959,13896833
18990,1000000000000000000000000000,1296,0,0,1640822109,13903336
18991,1000000000000000000000000000,1322,0,0,1640908571,13909771
18992,1000000000000000000000000000,1336,0,0,1640994996,13916150
18993,1000000000000000000000000000,1343,0,0,1641080727,13922596
18994,1000000000000000000000000000,1358,0,0,1641167913,13929160
18995,1000000000000000000000000000,1440,0,0,1641253776,13935590
18996,1000000000000000000000000000,1452,0,0,1641340182,13942077
18997,1000000000000000000000000000,1449,0,0,1641425622,13948453
18998,1000000000000000000000000000,1471,0,0,1641513146,13954939
18999,1000000000000000000000000000,1479,0,0,1641594101,13960965
19000,1000000000000000000000000000,1476,0,0,1641686298,13967918
19001,1000000000000000000000000000,1476,0,0,1641768883,13974131
19002,1000000000000000000000000000,1470,0,0,1641857576,13980725
19003,1000000000000000000000000000,1470,0,0,1641944103,13987251
