id,description,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,creationBlock,votes,startBlock,endBlock,proposer.id
19,"Contributors comps for december, timelock delay update and vesting pool streams updates.",EXECUTED,14058,1899,0,1,0,1,0,275891483057996554530914654164,0,275891483057996554530914654164,13954973,"[{'choice': 'FOR', 'weight': '275891483057996554530914654164', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}]",13954974,13967319,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
2,"Rescue YAMv2 sent to contract, setup instant stream for expense fund, send yUSD to expense fund",EXECUTED,9619,1165,0,6,0,6,0,275383414811375041637309818226,0,275383414811375041637309818226,11865225,"[{'choice': 'FOR', 'weight': '2230268491285584719189417859', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '137601361791066087358005992485', 'voter': {'id': '0x46499275b5c4d67dfa46b92d89aada3158ea392e'}}, {'choice': 'FOR', 'weight': '7196190499130054769360922504', 'voter': {'id': '0x6df3f5527c37e5623e1de2ff49b22adbe81a1573'}}, {'choice': 'FOR', 'weight': '2619164076491147128258863', 'voter': {'id': '0x9be41abfdcdaaa2ca97d69dae2991d7bd2ef29c8'}}, {'choice': 'FOR', 'weight': '39979203029097076606526572321', 'voter': {'id': '0xbc9e59f9fbb048f7d0faa593a0d197d420653572'}}, {'choice': 'FOR', 'weight': '88373771836719747037098654194', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",11865226,11877571,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
20,"Contributors comps for January, vesting pool streams updates, settling synths tokens and success tokens, sending settled and rewards tokens to reserves, claiming sushi for reserves, converting all usdc to yusdc and multisig token refill.",EXECUTED,14149,1899,0,1,0,1,0,355747423350787580009029374557,0,355747423350787580009029374557,14174028,"[{'choice': 'FOR', 'weight': '355747423350787580009029374557', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}]",14174029,14186374,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
21,"Contributors comps for February, vesting pool streams updates, settling synths tokens and success tokens, sending settled and rewards tokens to reserves, claiming sushi for reserves and converting all usdc to yusdc.",EXECUTED,14226,1900,0,4,0,4,0,361641242992539040611986745266,0,361641242992539040611986745266,14353465,"[{'choice': 'FOR', 'weight': '3198306879156671890229590', 'voter': {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2'}}, {'choice': 'FOR', 'weight': '3997883598945839863186773', 'voter': {'id': '0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7'}}, {'choice': 'FOR', 'weight': '5886623451273358091203954346', 'voter': {'id': '0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3'}}, {'choice': 'FOR', 'weight': '355747423350787580009029374557', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}]",14353466,14365811,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
22,"Contributors comps for March, closing old and ongoing vesting pool unclaimed streams, converting all yycrv to yusdc, depositing weth into yearn yCRV/stETH vault and claiming rewards for reserves.",EXECUTED,14267,1902,0,1,0,1,0,355747423350787580009029374557,0,355747423350787580009029374557,14531593,"[{'choice': 'FOR', 'weight': '355747423350787580009029374557', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}]",14531594,14543939,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
23,"Contributors comps for April, exit UGAS USTONKS UPUNKS positions, claiming all reward tokens from synths farms, transfer yam from vesting pool to reserves, transfer yam tokens to mainnet multisig, mint and send yam to reserves and claim rewards for reserves.",EXECUTED,14305,1903,0,2,0,2,0,586957830029313091472879254406,0,586957830029313091472879254406,14754233,"[{'choice': 'FOR', 'weight': '466305755314128599125745535096', 'voter': {'id': '0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f'}}, {'choice': 'FOR', 'weight': '120652074715184492347133719310', 'voter': {'id': '0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc'}}]",14754234,14766579,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
24,"Contributors comps for May, backpay for VDM, settling synths tokens and success tokens, sending settled rewards tokens to reserves, sending and withdrawing test uma and claiming sushi for reserves.",ACTIVE,14339,1908,3,1,0,4,567042196103812151415960439228,26614281083664053886735994673,0,593656477187476205302696433901,14949795,"[{'choice': 'FOR', 'weight': '26614281083664053886735994673', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'AGAINST', 'weight': '120828927443783616249559025615', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'AGAINST', 'weight': '120448679003304608611716600222', 'voter': {'id': '0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc'}}, {'choice': 'AGAINST', 'weight': '325764589656723926554684813391', 'voter': {'id': '0xd2744ba6ee61334d8b862659a64e11010dc5fe10'}}]",14949796,14962141,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
25,"Contributors comps for May, backpay for VDM, settling synths tokens and success tokens, sending settled rewards tokens to reserves, sending and withdrawing test uma and claiming sushi for reserves.",EXECUTED,14341,1908,0,3,0,3,0,382254813305724887943725501578,0,382254813305724887943725501578,14969812,"[{'choice': 'FOR', 'weight': '26614281083664053886735994673', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '35131749858061684537893310329', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}, {'choice': 'FOR', 'weight': '320508782363999149519096196576', 'voter': {'id': '0xd2744ba6ee61334d8b862659a64e11010dc5fe10'}}]",14969813,14982158,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
26,"Contributors comps for May, backpay for VDM, settling synths tokens and success tokens, sending settled rewards tokens to reserves, sending and withdrawing test uma and claiming sushi for reserves.",CANCELED,14360,1909,0,1,0,1,0,224739466650453971556764282808,0,224739466650453971556764282808,15107483,"[{'choice': 'FOR', 'weight': '224739466650453971556764282808', 'voter': {'id': '0x15515330e7c003dd4594b737165f2bf2ee671d82'}}]",15107484,15119829,0x15515330e7c003dd4594b737165f2bf2ee671d82
27,"Contributors comps for June, deposit uma into twoKeyContract and claiming sushi for reserves.",EXECUTED,14373,1910,0,5,0,5,0,517765475022230534760778763421,0,517765475022230534760778763421,15111097,"[{'choice': 'FOR', 'weight': '3198306879156671890229590', 'voter': {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2'}}, {'choice': 'FOR', 'weight': '3997883598945839863186773', 'voter': {'id': '0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7'}}, {'choice': 'FOR', 'weight': '31636822249019712506355284292', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '444234805453248341039959222541', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'FOR', 'weight': '41886651129484378702710840225', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}]",15111098,15123443,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
