id,description,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,creationBlock,votes,startBlock,endBlock,proposer.id
28,"Contributors comps for July, claiming sushi for reserves.",ACTIVE,14396,1912,0,1,0,1,0,52695514119912558765578573271,0,52695514119912558765578573271,15321175,"[{'choice': 'FOR', 'weight': '52695514119912558765578573271', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}]",15321176,15333521,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
29,"Contributors comps for July, claiming sushi for reserves.",EXECUTED,14396,1912,0,3,0,3,0,633302133857994097756816710121,0,633302133857994097756816710121,15339112,"[{'choice': 'FOR', 'weight': '40073556007875118368794659349', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '540062469082209997062189040624', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'FOR', 'weight': '53166108767908982325833010148', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}]",15339113,15351458,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
3,"Give BulkStreamSetup permissions, send monthly payments",EXECUTED,9691,1171,0,5,0,5,0,289604209072442710702803089727,0,289604209072442710702803089727,11917119,"[{'choice': 'FOR', 'weight': '19552254230158700475474733261', 'voter': {'id': '0x35d448178c938ee1a2dd0c3c9da3185d433e79aa'}}, {'choice': 'FOR', 'weight': '133683250158164854392939455862', 'voter': {'id': '0x46499275b5c4d67dfa46b92d89aada3158ea392e'}}, {'choice': 'FOR', 'weight': '4197777778893131855926334559', 'voter': {'id': '0x6df3f5527c37e5623e1de2ff49b22adbe81a1573'}}, {'choice': 'FOR', 'weight': '39979203029097076606526572321', 'voter': {'id': '0xbc9e59f9fbb048f7d0faa593a0d197d420653572'}}, {'choice': 'FOR', 'weight': '92191723876128947371935993724', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",11917120,11929465,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
30,"Contributors comps for August, opening new streams, yam previous payouts, treasury tokens rebalancing on multisig and claiming sushi for reserves.",EXECUTED,14427,1914,0,4,0,4,0,596709134531789210734942750799,0,596709134531789210734942750799,15521719,"[{'choice': 'FOR', 'weight': '3198306879156671890229590', 'voter': {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2'}}, {'choice': 'FOR', 'weight': '540062469082209997062189040624', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'FOR', 'weight': '56643467142700057000863480585', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xf6d639fcdd2467139976675fec588ba970e7e599'}}]",15521720,15534065,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
31,"# Discontinue Yam/ETH Incentives and mint $310,000 in $YAM for POL
Discontinue Yam/ETH SushiSwap LP Incentivizer and mint $310,000 in $YAM to replace current liquidity with Protocol Owned Liquidity as per YIP-114 https://forum.yam.finance/t/yip-114-yam-treasury-management-strategy-yield-farming-protocol-owned-liquidity/1713",CANCELED,14445,1914,2,4,0,6,0,272828260331606349471495141958,0,272828260331606349471495141958,15600065,"[{'choice': 'FOR', 'weight': '3198306879156671890229590', 'voter': {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2'}}, {'choice': 'AGAINST', 'weight': '0', 'voter': {'id': '0x3abdb6c900c78dc1856798e63952991d2d648280'}}, {'choice': 'FOR', 'weight': '272825062024727192799604912368', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x8d86df61da1eefa281d263c47c77629a6f9f2c3a'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xba5a04047df2cd3f25cb0054952d4aea0babef95'}}, {'choice': 'AGAINST', 'weight': '0', 'voter': {'id': '0xcaa8b2c1c86de1ac7e2c85bf7f7c9dec3c3dd356'}}]",15600066,15612411,0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc
32,"Contributors comps for September, creating protocol owned liquidity, stopping incentivizer rewards and claiming sushi for reserves.",EXECUTED,14499,1915,0,2,0,2,0,704321240409531028074679016117,0,704321240409531028074679016117,15729205,"[{'choice': 'FOR', 'weight': '637630529670332924612610008148', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'FOR', 'weight': '66690710739198103462069007969', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}]",15729206,15741551,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
4,"Exit uGAS-MAR, enter uGAS-JUN, enter uSTONKS-JUN",EXECUTED,11620,1410,0,19,0,19,0,306795309511224053054832567414,0,306795309511224053054832567414,12000397,"[{'choice': 'FOR', 'weight': '309902', 'voter': {'id': '0x00dbe6dfc86866b80c930e70111de8cf4382b824'}}, {'choice': 'FOR', 'weight': '399788359894583986580404', 'voter': {'id': '0x1da75fb0da32653fdab9ddecdb42f2ed61f8a28b'}}, {'choice': 'FOR', 'weight': '3302797981392129620254866869', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '159915343957833594511757426', 'voter': {'id': '0x428700e86c104f4ee8139a69ecdca09e843f6297'}}, {'choice': 'FOR', 'weight': '113693832163435655079004529413', 'voter': {'id': '0x46499275b5c4d67dfa46b92d89aada3158ea392e'}}, {'choice': 'FOR', 'weight': '683877358291840811331439331', 'voter': {'id': '0x577be3ed9a71e1c355f519bbdf5f09ba2018b1cc'}}, {'choice': 'FOR', 'weight': '927382324100000000000000000', 'voter': {'id': '0x618d78142f87a08ba92132c5e9204298ef665a55'}}, {'choice': 'FOR', 'weight': '614767523288256598010126932', 'voter': {'id': '0x7c74f84ab9d211b0ad306fd793c593b744135c49'}}, {'choice': 'FOR', 'weight': '194117005673798938756046408', 'voter': {'id': '0x9af906c01f75154dd3402dfa441c7a4251c3201f'}}, {'choice': 'FOR', 'weight': '114147719401800560964773207', 'voter': {'id': '0xad549c7fcf1bd3e57bca464d9dce0a0d561599d1'}}, {'choice': 'FOR', 'weight': '46407588209056546735621432', 'voter': {'id': '0xad61be2c9b796a8c14712b5ca163d10cf3344dd1'}}, {'choice': 'FOR', 'weight': '2796546407259447509550815', 'voter': {'id': '0xbaab407efca3619d65b0f8a576caf3b3b6cdf4a7'}}, {'choice': 'FOR', 'weight': '3300826581550603956180485355', 'voter': {'id': '0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc'}}, {'choice': 'FOR', 'weight': '786451379629512835856419409', 'voter': {'id': '0xd1b067580ad619b32cc06309012b6b46d506ed6e'}}, {'choice': 'FOR', 'weight': '1529442501635916627907610394', 'voter': {'id': '0xd7ac4581ef4e2bb6cc3734da183b981bfd0ee2a2'}}, {'choice': 'FOR', 'weight': '87121177516202164915284968686', 'voter': {'id': '0xdb012f63fcad8765fcd1514ba7fce621c5577892'}}, {'choice': 'FOR', 'weight': '27000000000000000000000000', 'voter': {'id': '0xe5767ade043d95c35e9723f7a463d25278ce6d4b'}}, {'choice': 'FOR', 'weight': '93712810351467605087698434681', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}, {'choice': 'FOR', 'weight': '577159838220723850839046750', 'voter': {'id': '0xf8dfdb95ea8acb8eaee9c092ce54d4a35fe966fe'}}]",12000398,12012743,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
5,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance",ACTIVE,12458,1754,0,24,0,24,0,147653758921913203625213640033,0,147653758921913203625213640033,12170828,"[{'choice': 'FOR', 'weight': '11602497374216426335042855', 'voter': {'id': '0x009154b39ca41372df54564fb8ff2c437a83c411'}}, {'choice': 'FOR', 'weight': '40378624349352982614148551', 'voter': {'id': '0x0fe92a09dd382f8014fe067cf4861fc6b6a9f0f6'}}, {'choice': 'FOR', 'weight': '13858879534595484285869851392', 'voter': {'id': '0x1d5e65a087ebc3d03a294412e46ce5d6882969f4'}}, {'choice': 'FOR', 'weight': '301706', 'voter': {'id': '0x1da75fb0da32653fdab9ddecdb42f2ed61f8a28b'}}, {'choice': 'FOR', 'weight': '40178730169405690621009202', 'voter': {'id': '0x1f3600d4ab699dfdb177f7fae18c750986c2692b'}}, {'choice': 'FOR', 'weight': '43976719588404238490656838', 'voter': {'id': '0x23356602caf99e185c530a8bb76c0aa31b6049ed'}}, {'choice': 'FOR', 'weight': '40178730169405690621009202', 'voter': {'id': '0x23b66e2cfe462977796e3626263786ce894bbb0a'}}, {'choice': 'FOR', 'weight': '146460154913939820426465694', 'voter': {'id': '0x2ec3f80beda63ede96ba20375032cdd3aafb3030'}}, {'choice': 'FOR', 'weight': '11572878991408577128433926', 'voter': {'id': '0x49effb8143a2d9343bdec259d8b2095b4723ee3c'}}, {'choice': 'FOR', 'weight': '11944351062440592607218612', 'voter': {'id': '0x4fb6ed7c5ed9e95de51148398a36db081ab28fd0'}}, {'choice': 'FOR', 'weight': '11652442164858321467088431', 'voter': {'id': '0x66f699de4237a887b2aac679bc500750ea46eb79'}}, {'choice': 'FOR', 'weight': '11533402792804449470950780', 'voter': {'id': '0x69965710c3db496e7884c8c21316e018682e3687'}}, {'choice': 'FOR', 'weight': '11945442303697285162447757', 'voter': {'id': '0x806542ee3cd0707d421dca4fcb048681b1408111'}}, {'choice': 'FOR', 'weight': '11993650796837519588360955', 'voter': {'id': '0x8402fc773764d6b4df62b404381e3706aa4bc62f'}}, {'choice': 'FOR', 'weight': '12143570785790691360824177', 'voter': {'id': '0x95b92259aadad128010b010622c65eef5407de78'}}, {'choice': 'FOR', 'weight': '399788359894583986278698', 'voter': {'id': '0x9a1e8645dedec6d45e2058d031b1ca97f815bd2e'}}, {'choice': 'FOR', 'weight': '194117005673798938756046408', 'voter': {'id': '0x9af906c01f75154dd3402dfa441c7a4251c3201f'}}, {'choice': 'FOR', 'weight': '26585925932989835087596017', 'voter': {'id': '0x9fc5bea9000986a756c61e00e34d50c3f0a3283d'}}, {'choice': 'FOR', 'weight': '11612558316645547939606269', 'voter': {'id': '0xa4720a7bc1e0fd89199965e75e03eebfbc794561'}}, {'choice': 'FOR', 'weight': '11944896664367378336866699', 'voter': {'id': '0xa675891564bce4fd41e2778463b0d09a107f0235'}}, {'choice': 'FOR', 'weight': '399788359894583986278698', 'voter': {'id': '0xcdc7ba99391f3be7e5dc0e49cc8361b537cfc29b'}}, {'choice': 'FOR', 'weight': '11945987980433732855202059', 'voter': {'id': '0xd88d426d741ea3276d922825b03d6837be374d2f'}}, {'choice': 'FOR', 'weight': '133091933616217779469887806556', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}, {'choice': 'FOR', 'weight': '40378624349352982614148551', 'voter': {'id': '0xf399b438fb5eef6b94d5728c36f53338c4c0d336'}}]",12170829,12183174,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
6,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance, transfer UMA to umaDistributor, mint YAM to yamDistributor",EXECUTED,12499,1771,3,26,0,29,3200943174721967493784199924,313142519945949514258784897140,0,316343463120671481752569097064,12206342,"[{'choice': 'FOR', 'weight': '11602497374216426335042855', 'voter': {'id': '0x009154b39ca41372df54564fb8ff2c437a83c411'}}, {'choice': 'FOR', 'weight': '9188342768372396580239923541', 'voter': {'id': '0x06e9925d3e8c642371232e7492c3916d6b855aaa'}}, {'choice': 'FOR', 'weight': '41178201069142150586705948', 'voter': {'id': '0x07187dff8d1061320bee5a370c2d55e4cafb062a'}}, {'choice': 'FOR', 'weight': '11970100187105239101233394082', 'voter': {'id': '0x1d5e65a087ebc3d03a294412e46ce5d6882969f4'}}, {'choice': 'FOR', 'weight': '40778412709247566600427249', 'voter': {'id': '0x33b6ea4c943a7086cff6adebc3e20477bf7742a5'}}, {'choice': 'FOR', 'weight': '4082795603157730837910879046', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '11572878991408577128433926', 'voter': {'id': '0x49effb8143a2d9343bdec259d8b2095b4723ee3c'}}, {'choice': 'FOR', 'weight': '12793227516626687560918352', 'voter': {'id': '0x4b78e19f34bdb0b2ae16ad9888ae1e3ca5998d2c'}}, {'choice': 'FOR', 'weight': '3238869949549291307166857978', 'voter': {'id': '0x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184'}}, {'choice': 'FOR', 'weight': '11944351062440592607218612', 'voter': {'id': '0x4fb6ed7c5ed9e95de51148398a36db081ab28fd0'}}, {'choice': 'FOR', 'weight': '87755231047250232746456674696', 'voter': {'id': '0x53c91f33e4da805d04dce861c536fa1674e7334d'}}, {'choice': 'FOR', 'weight': '6396613758313343780459177', 'voter': {'id': '0x5444c3377842568e5ccd77df6f8b26c2c2ef3878'}}, {'choice': 'FOR', 'weight': '11652442164858321467088431', 'voter': {'id': '0x66f699de4237a887b2aac679bc500750ea46eb79'}}, {'choice': 'FOR', 'weight': '11533402792804449470950780', 'voter': {'id': '0x69965710c3db496e7884c8c21316e018682e3687'}}, {'choice': 'FOR', 'weight': '5912574624030210021449628897', 'voter': {'id': '0x72cf44b00b51aa96b5ba398ba38f65cf7effdd05'}}, {'choice': 'FOR', 'weight': '11945442303697285162447757', 'voter': {'id': '0x806542ee3cd0707d421dca4fcb048681b1408111'}}, {'choice': 'FOR', 'weight': '11993650796837519588360955', 'voter': {'id': '0x8402fc773764d6b4df62b404381e3706aa4bc62f'}}, {'choice': 'FOR', 'weight': '12143570785790691360824177', 'voter': {'id': '0x95b92259aadad128010b010622c65eef5407de78'}}, {'choice': 'FOR', 'weight': '11612558316645547939606269', 'voter': {'id': '0xa4720a7bc1e0fd89199965e75e03eebfbc794561'}}, {'choice': 'FOR', 'weight': '11944896664367378336866699', 'voter': {'id': '0xa675891564bce4fd41e2778463b0d09a107f0235'}}, {'choice': 'FOR', 'weight': '40378624349352982614148551', 'voter': {'id': '0xb820a6709acae568aecb89ee0ce29427386ca2f8'}}, {'choice': 'FOR', 'weight': '59531457259255777082001305582', 'voter': {'id': '0xbc9e59f9fbb048f7d0faa593a0d197d420653572'}}, {'choice': 'FOR', 'weight': '1121308293173403720960684405', 'voter': {'id': '0xce168ab473e4b951dc24f3f79686d0fc63660512'}}, {'choice': 'FOR', 'weight': '11945987980433732855202059', 'voter': {'id': '0xd88d426d741ea3276d922825b03d6837be374d2f'}}, {'choice': 'AGAINST', 'weight': '1199365079683751958836095', 'voter': {'id': '0xdce054fa9eae18fb30e35bfe233abc9b18114615'}}, {'choice': 'FOR', 'weight': '130030044831069696625356698565', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}, {'choice': 'AGAINST', 'weight': '3198306900378848030328973685', 'voter': {'id': '0xec8044df47539fa0df1ca62a1e8b06fff1a2fda6'}}, {'choice': 'AGAINST', 'weight': '1436909263435711496390144', 'voter': {'id': '0xf4880975728ee25a96c701c225c9ef58eebe5a5b'}}, {'choice': 'FOR', 'weight': '40378624349352982614148551', 'voter': {'id': '0xfe7ddfcf04303b5ba5e1fb492a4b3cc8736ba190'}}]",12206343,12218688,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
7,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance, allow withdrawal from old uSTONKS, allow deposit to uSTONKSJUNFarmer, approve USDC transfer to uSTONKSJUNFarmer, transfer UMA to umaDistributor",EXECUTED,13134,1835,0,3,0,3,0,226774868567065193904843241975,0,226774868567065193904843241975,12403797,"[{'choice': 'FOR', 'weight': '110578869305575224377161594940', 'voter': {'id': '0x46499275b5c4d67dfa46b92d89aada3158ea392e'}}, {'choice': 'FOR', 'weight': '12143570785790691360824177', 'voter': {'id': '0x95b92259aadad128010b010622c65eef5407de78'}}, {'choice': 'FOR', 'weight': '116183855690704178836320822858', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",12403798,12416143,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
8,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance",ACTIVE,13254,1846,0,6,0,6,0,124944518320358974645628070139,0,124944518320358974645628070139,12565069,"[{'choice': 'FOR', 'weight': '7362575560983707499503978995', 'voter': {'id': '0x3fdced6b5c1f176b543e5e0b841cb7224596c33c'}}, {'choice': 'FOR', 'weight': '229992', 'voter': {'id': '0x4acbca6be2f8d2540bbf4ca77e45da0a4a095fa2'}}, {'choice': 'FOR', 'weight': '14958687800000000000000000', 'voter': {'id': '0x97b102e00d88f02debfd6b1e4b901dd6931bb982'}}, {'choice': 'FOR', 'weight': '487194058799886830931930220', 'voter': {'id': '0xd7ac4581ef4e2bb6cc3734da183b981bfd0ee2a2'}}, {'choice': 'FOR', 'weight': '1985057014559369825666664361', 'voter': {'id': '0xe4d229bfe5202aa41379a352ff220931333f6598'}}, {'choice': 'FOR', 'weight': '115094732998216010489525266571', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",12565070,12577415,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
9,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance, send UMA to distributor",EXECUTED,13271,1849,0,9,0,9,0,205206028568971671719737461086,0,205206028568971671719737461086,12597524,"[{'choice': 'FOR', 'weight': '9994708997364599656967463', 'voter': {'id': '0x3651ef5e30388536dd227214b1d82ae4956acdb1'}}, {'choice': 'FOR', 'weight': '365829850104009671189174475', 'voter': {'id': '0x3fc333caa03eb3423b1ece56fd187fc71807cbf8'}}, {'choice': 'FOR', 'weight': '229992', 'voter': {'id': '0x4acbca6be2f8d2540bbf4ca77e45da0a4a095fa2'}}, {'choice': 'FOR', 'weight': '48081057935869229981372250451', 'voter': {'id': '0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84'}}, {'choice': 'FOR', 'weight': '14665906592970087496396538108', 'voter': {'id': '0x711e80d17780a8f2178d0145f011a6547a2635ee'}}, {'choice': 'FOR', 'weight': '311934818801602127486576212', 'voter': {'id': '0xa5a69107816c5e3dfa5561e6b621dfe6294f6e5b'}}, {'choice': 'FOR', 'weight': '155109994954240567189245169', 'voter': {'id': '0xad549c7fcf1bd3e57bca464d9dce0a0d561599d1'}}, {'choice': 'FOR', 'weight': '487194058799886830931930220', 'voter': {'id': '0xd7ac4581ef4e2bb6cc3734da183b981bfd0ee2a2'}}, {'choice': 'FOR', 'weight': '141129000608475250445514548996', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",12597525,12609870,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
