id,description,proposer.id,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,creationBlock,votes.0.choice,votes.0.weight,votes.0.voter.id,startBlock,endBlock,votes.1.choice,votes.1.weight,votes.1.voter.id,votes.2.choice,votes.2.weight,votes.2.voter.id,votes.3.choice,votes.3.weight,votes.3.voter.id
100958047475146156930847168959416700825688623360393768052359222501429911859780,add FEI as a collateral,0xe02f8e39b8cfa7d3b62307e46077669010883459,EXECUTED,486,6,0,1,0,1,0,357150000000000000000000000,0,357150000000000000000000000,13608257,FOR,357150000000000000000000000,0xe02f8e39b8cfa7d3b62307e46077669010883459,13608802,13628438,,,,,,,,,
109478992376174189633994972967954368173691264812245170967251088291685043975063,updating the DAI-EUR Oracle because of a deployment bug,0xe02f8e39b8cfa7d3b62307e46077669010883459,EXECUTED,4,1,0,1,0,1,0,420000000000000000000000000,0,420000000000000000000000000,13494336,FOR,420000000000000000000000000,0xe02f8e39b8cfa7d3b62307e46077669010883459,13494881,13514517,,,,,,,,,
3807864663399295206969797498242513407427345147018237719059069671012286421621,Start DAO: Lower the quorum and reduce timestamp delay,0xe02f8e39b8cfa7d3b62307e46077669010883459,EXECUTED,357,5,0,2,0,2,0,360149410726365635041434127,0,360149410726365635041434127,13563910,FOR,2999410726365635041434127,0xcf263cee139763114faafc5f52865135412f50ec,13564455,13584091,FOR,357150000000000000000000000,0xe02f8e39b8cfa7d3b62307e46077669010883459,,,,,,
52285489881723645794195486886496314196652885115638179184671228955171344542872,add FRAX as a collateral,0xe02f8e39b8cfa7d3b62307e46077669010883459,EXECUTED,485,6,0,1,0,1,0,357150000000000000000000000,0,357150000000000000000000000,13608321,FOR,357150000000000000000000000,0xe02f8e39b8cfa7d3b62307e46077669010883459,13608866,13628502,,,,,,,,,
62220195073799111296382829368631334275649871472565188186178597812767717553502,ANGLE Tokenomics Improvement,0xe02f8e39b8cfa7d3b62307e46077669010883459,EXECUTED,1219,9,0,4,0,4,0,351232151868426122785796528,0,351232151868426122785796528,13983614,FOR,0,0x02fbadf4f6587885c7db75c65d13cf5fed2d246e,13984159,14003795,FOR,0,0x2538de1b9c5bc4accb26b2ab66e775fe311d8a73,FOR,0,0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca,FOR,351232151868426122785796528,0xe02f8e39b8cfa7d3b62307e46077669010883459
