choice,weight,voter.id
FOR,1000000000000000000000000,0x458ceec48586a85fcfeb4a179706656ee321730e
FOR,5000782184230561871247991,0x66b9d411e14fbc86424367b67933945fd7e40b11
FOR,5114000000000000000000000,0x70b6ab736be7672c917a1ab11e67b5bc9fddeca9
FOR,4000000000000000000000000,0x961bcb93666e0ea73b6d88a03817cb36f93a6dd9
FOR,2500001000000000000000000,0xb81cf4981ef648aaa73f07a18b03970f04d5d8bf
FOR,0,0xcdddcf576e2018ea8d22461137a8f1bf9ab4f8c1
FOR,10709163415940758273000311,0xe0ac4559739bd36f0913fb0a3f5bfc19bcbacd52
FOR,2500010000000000000000000,0xf8d0387538e8e03f3b4394da89f221d7565a28ee
FOR,0,0x027e652f28d71de7ee7fdf90cc95a160164e9fd7
FOR,0,0x40b12d200404c0d082b6d088ab24ceded6bcf8c2
FOR,5000782184230561871247991,0x66b9d411e14fbc86424367b67933945fd7e40b11
FOR,5114000000000000000000000,0x70b6ab736be7672c917a1ab11e67b5bc9fddeca9
FOR,4000000000000000000000000,0x961bcb93666e0ea73b6d88a03817cb36f93a6dd9
FOR,2500001000000000000000000,0xb81cf4981ef648aaa73f07a18b03970f04d5d8bf
FOR,10709163415940758273000311,0xe0ac4559739bd36f0913fb0a3f5bfc19bcbacd52
FOR,2500010000000000000000000,0xf8d0387538e8e03f3b4394da89f221d7565a28ee
