DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices
Gitcoin,xiaomugua.eth,0x7d64dc0f222a54cda3fb9be846385c56915d23de,FOR,2.306237589129505e+19,16089287,1669889627,0x69f5db33ad16ae4016174f3746971949c3994f4ee223d4c6c28e023aec636853,23.06237589129505,2.306237589129505e+19,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,goodmm.eth,0x01e46bbb3f24949df99e1e4e200642ef39cd3db2,FOR,1.24667623032267e+18,16089399,1669890983,0x4882a31a067037bd1d2a4e544badb986d078592bc5dd584792c0b68501dba775,1.2466762303226702,1.24667623032267e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,,0x45725a0fd7a78d4fe08edcde4ce58593ae73c1d8,FOR,1.375312756036094e+18,16089591,1669893311,0x40dd2f1db538bc5ad1e36941fbde3c3bd6a02e80b85ded8d7919ee63405a4c31,1.375312756036094,1.375312756036094e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,btc614.eth,0xd122048bab48932b6440ac4884a2621f4135445a,FOR,1.2919906708193405e+18,16089796,1669895771,0xe1fb5b17d0b520631a5a125b600f58f341316cbd17d6a4817e14e060d3e28ff2,1.2919906708193405,1.2919906708193405e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,nftsun.eth,0x2416cf24497e42143baf2345d02899bfec67a707,FOR,65880311335888.0,16089911,1669897151,0x4572309cdbdbc5f3159445094c133b12054781656aee8700c14745df30a0080b,6.5880311335888e-05,65880311335888.0,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,ttt17.eth,0x97bb5912e0c1a6facc4f692bbf72f5a10508dae3,FOR,5.888511137983031e+17,16090000,1669898231,0xa4f03ebecbe1e7a7b1407465d27e73478932b47bab814c341ce6250b0a2fe0a0,0.5888511137983031,5.888511137983031e+17,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,kkn.eth,0xc1a69f906ce4366c0c77e0219b3132fea0969231,FOR,3e+18,16090193,1669900559,0x8b316c4fa21e22c3960b50e71a543d24c0353435a47aaa4ad91491accb73cf25,3.0,3e+18,1,42,ACTIVE,2500000000000000000000000,23974,6125,2,124,0,126,19276320620400932048,6924072993673174721055076,0,6924092269993795121987124,1669272671,16051303,16091623,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,8578577.eth,0x2a7e4e1bcc30c4f07167a528954bb786045d9999,FOR,1.4709475085044317e+17,16090207,1669900727,0x35fa698f3dcf6e91983e9bebec32babe9df5eb0f8f943c46277ed3dc0c4081a7,0.14709475085044318,1.4709475085044317e+17,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,950614.eth,0x1b1497966f3932f7b9eb5da81cc53abb4973637f,FOR,8.81721272862199e+17,16090734,1669907099,0x12f669d8ded0e32c98270bd2083db92124718cfce6c45ce114d4084d4b99cbb8,0.881721272862199,8.81721272862199e+17,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,,0x49fea5e1cd10750e1500eebd52ebe9d21b7f0e04,AGAINST,5e+17,16090888,1669908959,0x231cdeea51f0b6c02e0acb24c8cf2141f43e3f9058389edea31d8aaf60ba74fa,0.5,5e+17,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,,0xf47f3f9f42e431c208d4ea63d0dc1dc68541652c,FOR,1.5848698092395889e+18,16090938,1669909571,0x78ee6f0403fcc4874273804b6d105afd780ccfba6bb10afc05d9734e35adb2d6,1.5848698092395888,1.5848698092395889e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
