id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
100958047475146156930847168959416700825688623360393768052359222501429911859780-18947,357150000000000000000000000,0,357150000000000000000000000,1637055226,13625843,100958047475146156930847168959416700825688623360393768052359222501429911859780
109478992376174189633994972967954368173691264812245170967251088291685043975063-18927,420000000000000000000000000,0,420000000000000000000000000,1635325512,13498513,109478992376174189633994972967954368173691264812245170967251088291685043975063
3807864663399295206969797498242513407427345147018237719059069671012286421621-18939,360149410726365635041434127,0,360149410726365635041434127,1636365356,13575087,3807864663399295206969797498242513407427345147018237719059069671012286421621
52285489881723645794195486886496314196652885115638179184671228955171344542872-18947,357150000000000000000000000,0,357150000000000000000000000,1637055815,13625883,52285489881723645794195486886496314196652885115638179184671228955171344542872
62220195073799111296382829368631334275649871472565188186178597812767717553502-19003,0,0,0,1641930106,13986183,62220195073799111296382829368631334275649871472565188186178597812767717553502
62220195073799111296382829368631334275649871472565188186178597812767717553502-19004,351232151868426122785796528,0,351232151868426122785796528,1642018413,13992816,62220195073799111296382829368631334275649871472565188186178597812767717553502
