,Unnamed: 0,proposal,voter,support,single_vote,name,total_cap,circulating
0,742,9,0x159dda55ab7b74c13be4e1616c276d87b387d630,1,300000.0,,1000000000,734135450
1,673,9,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,2500163.927160073,,1000000000,734135450
2,255,9,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,1,3401847.975,,1000000000,734135450
3,307,9,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,3000000.0,upennblockchain.eth,1000000000,734135450
4,920,9,0x1a13c53d516f6e8321e9903f224861e74bbd7aa0,1,600400.0,willprice.sismo.eth,1000000000,734135450
5,1598,9,0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,1,15000001.24,,1000000000,734135450
6,1326,9,0x247909fbb47082d319a4d93562aeedc261e08783,1,13694.39803523,,1000000000,734135450
7,888,10,0x19360799a15730fac556088793895aa7650ee442,1,806.0024980417325,,1000000000,734135450
8,1798,10,0x30fe0d8d2d81ea568ff60b6e28ab74eb7e548cb0,1,238.93454127650935,,1000000000,734135450
9,674,10,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,2500037.927160073,,1000000000,734135450
10,1599,10,0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,1,15000039.76238702,,1000000000,734135450
11,2080,10,0x3932218b050de23293f419906e49f1a00aa8bd26,1,1.0,,1000000000,734135450
12,806,10,0x171c1cf42c8e11589381f5e4846ffe4e2c7f6d95,1,5.372671990687887,papyboo.eth,1000000000,734135450
13,1758,10,0x2fae7ca03363a8722df266fcc1df74f3957408a8,1,102.0,0x2fa.eth,1000000000,734135450
14,1247,10,0x230b2e139a7d56f24120735a32e9b33459a4f63e,1,1.0,,1000000000,734135450
15,449,10,0x0be0ecc301a1c0175f07a66243cff628c24db852,1,1276.0990207379375,hiturunk.eth,1000000000,734135450
16,33,10,0x00d8270d000ba2ebc17afa81f3634b4a631224e9,1,10.749907536706216,,1000000000,734135450
17,308,10,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,3000000.0,upennblockchain.eth,1000000000,734135450
18,1290,10,0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7,1,2.0,fateswing.eth,1000000000,734135450
19,612,10,0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f,1,300.0,layer2scaling.eth,1000000000,734135450
20,551,10,0x10522996b74d19fa7fd438dfba1f05a5a55f36af,1,7.0106678949505215,,1000000000,734135450
21,743,10,0x159dda55ab7b74c13be4e1616c276d87b387d630,1,300000.0,,1000000000,734135450
22,2122,10,0x39ec45d1445d9bdcd3a04238464b9f486c6ac748,1,1.35e-16,emhlbmc.eth,1000000000,734135450
23,2260,10,0x3cfc3559e67a6132f6cf81fd9de62409dde95fe9,0,300.86612698199934,,1000000000,734135450
24,361,10,0x08a992b12ebfec26068801f4a9ab019b731cd265,1,9255.361153160291,,1000000000,734135450
25,921,10,0x1a13c53d516f6e8321e9903f224861e74bbd7aa0,1,600400.0,willprice.sismo.eth,1000000000,734135450
26,256,10,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,1,3401847.975,,1000000000,734135450
27,1204,11,0x21d99bbbc49846fc9864931a0c3fdc296999aeea,1,0.01,,1000000000,734135450
28,548,11,0x102bde58fb272bb934de08abec4865b87f5862ad,1,1.0,,1000000000,734135450
29,1206,11,0x21eae6e365aeb7cd907473ec12176d0976914e68,1,1.1,,1000000000,734135450
30,2024,11,0x371ea1e8fcb52083a2a6ee8bb44bb5540939fb82,1,0.1,awallet.eth,1000000000,734135450
31,2019,11,0x36fb76f8ce161770ca708afb6a81aa0428c9ea99,0,0.10798099,,1000000000,734135450
32,2020,11,0x36fd38a212124a936c593f9c66163bd2f8445845,1,1.1,,1000000000,734135450
33,535,11,0x0fbed08f678ad127600a740f4758cb82d7c761b8,1,0.3,xiaoqiu.eth,1000000000,734135450
34,1208,11,0x220452c66d0ccd7a46c064da784c444939509821,1,0.58,excit.eth,1000000000,734135450
35,539,11,0x0ff9b6ab6ec58ceb6d5ae8a1690dd5a0959ad002,1,0.1,xinyubtc.eth,1000000000,734135450
36,2018,11,0x36f80088325b16c416d7237022f43f65d2acc906,1,1.1,,1000000000,734135450
37,478,11,0x0d864db5d480b559d85c99fe0e316f3502fea62c,1,1.1,musthodl.eth,1000000000,734135450
38,532,11,0x0f8aca6bb8d86bba87892efab1e19491c97387b7,1,0.1,,1000000000,734135450
39,531,11,0x0f8361ef329b43fa48ac66a7cd8f619c517274f1,1,10.808324397430079,zakk1115.eth,1000000000,734135450
40,529,11,0x0f7e46d4a4397d06d43567c9f161ec2bba57cf8e,1,10.09,shengg.eth,1000000000,734135450
41,1677,11,0x2d2d768fd67b3ce4673049d0c39e2ddf2af4c2bf,1,1.0,,1000000000,734135450
42,1675,11,0x2d01964aea138c35433a29aaf96669796f884fbc,1,0.11,,1000000000,734135450
43,1216,11,0x223cf852a2320b7d451bbf5ff8e97cc3aa6fec9b,1,0.5,xiaohezi.eth,1000000000,734135450
44,519,11,0x0f7974fc4a15ad9e0c177748264beea72af7749a,1,1.01,morganpipe.eth,1000000000,734135450
45,2033,11,0x37335c7911924909e2c542282be3474b7f6a70db,1,2.0,,1000000000,734135450
46,2036,11,0x373be74324aff93be17fce300173aaebb999e7ba,1,1.03,ebacba.eth,1000000000,734135450
47,1672,11,0x2cfc3058f6a80b178716a26dad6769d44d9942c7,1,1.0,,1000000000,734135450
48,2038,11,0x376110452c2fdaef842dbd1f64234a2045d2e40c,1,2.0031450547692637,taiyiyi.eth,1000000000,734135450
49,509,11,0x0eaadc510c54a5dc2c21140e0d280ce4f94f988e,1,0.1,,1000000000,734135450
50,1671,11,0x2cd926471980a9769ade4f3ccfe2ca274e51ff7c,1,1.1,,1000000000,734135450
51,1224,11,0x225933f8594e980d9d4b75ff744a46be10d48f3c,1,1.1,,1000000000,734135450
52,1225,11,0x227b42629afb82dd5f6c137dabc4cce8421b5341,1,1.0,,1000000000,734135450
53,534,11,0x0fb7e004a9a0fb1caf87fcbc0ad93b704ac70347,1,1.000099,,1000000000,734135450
54,1201,11,0x21c0a2c88df089de73f09b0ad33a2cd76b9b69ee,1,1.0,,1000000000,734135450
55,566,11,0x1111111648cca5d28dc85e0b0b04b735491fd9ad,1,0.1,thetanuts.eth,1000000000,734135450
