txnHash,delegateChange,delegateVotingPowerChange,transfer,from,to,previous,amount,flag
0x0d1383be6e6327a425e28c1b37e6b135933b832203b1e9076ede3f3dfb2ffc78,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '406857994412961129238175', 'newBalance': '412630385608965594361979'}]",{},,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('5772391196004465123804')},0
0x0c67a7c1534289aafbcadae5a10082669d8e1fb3faa005848e8d0c75270d8931,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '412630385608965594361979', 'newBalance': '412959802202080137149078'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0xC5B3B2537499e3943C9A359886193F3F89EdDc6a', Decimal('1112920548441777105990')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('329416593114542787099')},0
0x6b55a472325dea8415e429fd5e3b4d2dd6cfbdbf253295fd5bc85ee13c31a513,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '317624994911587737626886084', 'newBalance': '317929967504840250712259844'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('304972593252513085373760')},0
0x05799c1b2683b61b71f2dd0bac3d90310cbd247a10d9692dde3ac286ca323145,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '412959802202080137149078', 'newBalance': '415122429718888602763857'}]",{},,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('2162627516808465614779')},0
0xd529f2b66824c94838a70f4cee38f36cb4fb0d4401dc1d3324114e9a4b1c776a,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '415122429718888602763857', 'newBalance': '415131068034941997341514'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0xC5B3B2537499e3943C9A359886193F3F89EdDc6a', Decimal('815183365361668990998')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('8638316053394577657')},0
0xfda745571d3bb43dd7ad67e9372b4634a303499cd904afdf1ef74599b2951b4a,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '3895738850800790533081988', 'newBalance': '8439776352914776665332960'}]","{'0x617c34A9B6F080a0f25988DB6C903a8348D41081': [['0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', Decimal('4544037502113986132250972')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('4544037502113986132250972')},0
0xbee205216298b6e42c38076adce88f9c158b267542cfd1a86fb2dd28a9678137,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8439776352914776665332960', 'newBalance': '6678705076579583024203246'}]","{'0x0C462Dbb9EC8cD1630f1728B2CFD2769d09f0dd5': [['0x617c34A9B6F080a0f25988DB6C903a8348D41081', Decimal('1761071276335193641129714')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('-1761071276335193641129714')},0
0x9540b48b93c2107daa7fb807cb937d712e277c0fab418ef78e35b624861c6d8c,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '317929967504840250712259844', 'newBalance': '318160094951603761202962009'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('230127446763510490702165')},0
0x1ff62d78d4e9ef51a490b67e1aa659ee802c91f822ebde0f878cf11c27989cbb,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '6678705076579583024203246', 'newBalance': '8593452772334698870643293'}]","{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': [['0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', Decimal('1914747695755115846440047')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('1914747695755115846440047')},0
0x5ea4c112a20b5bb2ec26de3632295579f2dc621af021370f3afe1bc3da466b14,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '318160094951603761202962009', 'newBalance': '318359259884843328423659802'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('199164933239567220697793')},0
