txnHash,source,value
0x1ba34007659b733c2c87f261050ed307921a70c547b9b8a9bb4b314dd64bbbea,"['dvpc', 'transfer']","[nan, '23754150119623455583649']"
0x1c7abbbf9b5e99dd667d82627ec600668dedf0049732ba805568350174aea04f,"['dvpc', 'transfer']","[nan, '1014905187721968543886352']"
0x1cb6645a892a98bb99c37031b6e4d32a3359f5bb0952a7ef9ef2584408421228,"['dvpc', 'transfer']","[nan, '915340600000000000000000']"
0x1daff22297faedd606293aa4ef317bbad44acd034ef84a175bf784c0a7b0a612,"['dvpc', 'transfer']","[nan, '1643525388973448334178927']"
0x1de5e18bd88024319fbdec6324ec5f190e4baca2ab45237fb39b68f4f70e3c8b,"['dvpc', 'transfer']","[nan, '12499999000000000000000000']"
0x1ee539e8063b672f94cd0ac001f15955e87bd7059096737e453791a8747a73ab,"['dvpc', 'dc']","[nan, nan]"
0x1f008a47f4cf42ae028243f53fc4a1f716d2c228bd3cd0de9c2af5de91925709,"['dvpc', 'transfer']","[nan, '854523930323017081007949']"
0x1ff62d78d4e9ef51a490b67e1aa659ee802c91f822ebde0f878cf11c27989cbb,"['dvpc', 'transfer']","[nan, '1914747695755115846440047']"
0x2006be8330386dfa7a26d47765e922b8a438b2936d00f721cc4b575eb0a9eaed,"['dvpc', 'transfer']","[nan, '1100000000000000000000000']"
0x203159c8b5d4822ba99a386e0b26b0b610c678f417ef34ccc20e8e2cc4520aa7,"['dvpc', 'transfer']","[nan, '1159713346519865590893']"
0x203d89576f6f15743375f937ebaeb2c0353246cacaf41bf72ad0e830212544fb,"['dvpc', 'transfer']","[nan, '841298304583121934720108']"
0x224d5f82618e1cc89f2fd1dfd9a94d353627056961e4a0215af808a6b5e1a722,"['dvpc', 'transfer']","[nan, '110900782150674155883']"
0x22c54f3bd38e14ce1d782eab0e5d054fcc37a7e4f6452c3ef006187594d95017,"['dvpc', 'transfer']","[nan, '42722170000000000000000']"
0x2321aba3d409a5f2601cfd5953d785ef098d2c2c8276dfe018a89dfe2fc0020b,"['dvpc', 'transfer']","[nan, '50000000000000000000000']"
0x236b93de01dc942bb4e42e2f43b572da770e702726434ec3eac162cd4f1c2b64,"['dvpc', 'dc']","[nan, nan]"
0x23d85e2f4ec60932198a8ffa9c162467a2d1d58a112be275b17ff003b18a01d8,"['dvpc', 'transfer']","[nan, '1087405947346900699069']"
0x23fbd49ad73d00540f6c77740bb0b6b2983e97c4578d97ff0b5c5e329a039b99,"['dvpc', 'dc']","[nan, nan]"
0x2428624b484dd140d5427bbc1d67e91111c20d5e48b826c55e5f5979b8360e7f,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '130000000000000000000000', '130000000000000000000000']"
0x24733539d1bcdb917525de522380b63c5415df8162298f281d80777d0804dc06,"['dvpc', 'transfer']","[nan, '1000000000000000000']"
0x259d010dfc2c7951a7f10afff28a93d629a2750eec405d46181b3744108402a4,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x25fb7961f501a7c4ad4bb0d690de367b44c338438c1ca61fa0df67aafdf162ed,"['dvpc', 'transfer']","[nan, '250000000000000000000000']"
0x261961d0e5c8ae4fe3d40825d3a7dbb7dbc7d0e2124970cca0144cbdc401a513,"['dvpc', 'transfer']","[nan, '2211991586335193641129714']"
0x26e5d2839469ebaa8d10b66e9f8e5a400a7799fbcd9f9a3d2365de6e083079d0,"['dvpc', 'transfer']","[nan, '242079422458988669034331']"
0x27f9f5c4fc1b2c1b16c2b7b6fba4476512ce71d90f51eb4b170c6b46a5ec660d,"['dvpc', 'transfer']","[nan, '165329280000000000000000']"
0x280e7d68628160271e7518c88d5879fcbf0a31e6dda031155aad46dccee52e93,"['dvpc', 'dc']","[nan, nan]"
0x28853aba4a19942e777b925e911c122e0af64b8bdbc8a2c95f5b95975a56370b,"['dvpc', 'transfer']","[nan, '1000000000000000000000000']"
0x28ce7b149f519ef1bc9a8260cb560f89d22e4e5c68ed43be56159092bf5b8f2a,"['dvpc', 'transfer']","[nan, '49424467275494672754946']"
0x2a849b1162f7a89e082d3f7f7f54a72b743891b10d019eccfaca141a2e1d0439,"['dvpc', 'transfer']","[nan, '277419073219585470000000']"
0x2b599b25ac7cc10f2c64f99f1dd812330f8b6c3ace621bc183621982dd1bf430,"['dvpc', 'transfer']","[nan, '38215283490378177751241']"
0x2c8984211f6aef8fb9e815abd4c4ec524a39f3b67a78e4ad8eddcffdca45665d,"['dvpc', 'transfer']","[nan, '900000000000000000000000']"
0x2cac448ddad9cea307389c9b6fcfd902ee8d9bcff7dfd093a6e96a6a247e2f51,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '30800000000000000000000', '30800000000000000000000']"
0x2d0f46a5285cd3e4c17d433f80c781bc21b580c1121fbcab38317a0e9fb9d09f,"['dvpc', 'transfer']","[nan, '167533721773691484706712']"
0x2e540420fd39cc9961fa1df59f0b7d05ad30e68b7238b2ea5014631798893427,"['dvpc', 'transfer']","[nan, '1600388973448334178927787']"
0x2e9227e1deac8885bb8c1aae79c81b673d790a078068c6c110cfc7387632ab85,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x2e9a70ec77b08cdeb0215e6b7dc1fc157b8beabe7f8262768f6a08892192eebb,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x30cbbdb5b06a955b6011de8a73d21d3e88c543e8815085217bdda2dcbb948d32,"['dvpc', 'transfer']","[nan, '87862538000000000000000']"
0x3188831198de9e1f93bea6d90fb171dacb00075223e046c685a023033198c05e,"['dvpc', 'transfer']","[nan, '152416679989355545761451']"
0x3188f30f3e0a5967e60303b09edb2f2d37a905fae9e9fc666abc3db05e0ad7fa,"['dvpc', 'transfer']","[nan, '1017680498527320357336']"
0x32252808e503b224c6115ba43e017518c86e538d44085be1fa9fd4bc9e7a00d4,"['dvpc', 'transfer']","[nan, '22816114651174187510917']"
0x325c4ef4ffc741f8a031990a2f23846b723d88945255908efd4cc6378d8ef92f,"['dvpc', 'transfer']","[nan, '184681484831674607035']"
0x32a20935a2d6a50fb4eea21724b16a98f0818fb6102c74c2cd9de8bf282b820b,"['dvpc', 'transfer']","[nan, '494199166874204446457']"
0x330a19364fe352dbd7856e2925c79b5e717b9274153cd5b29ffb0bf55ed181a2,"['dvpc', 'transfer']","[nan, '1000000000000000000']"
0x33a51a6f26fa73c5175702604d420374ffe2dbca826fd6f09e0ea7d6ab4a15ae,"['dvpc', 'transfer']","[nan, '1000000000000000000000000']"
0x34505fd747ad74e85c8e4e297d5574c42cfebb4c0b665784fbf14c351b3da403,"['dvpc', 'transfer']","[nan, '114396700000000000000000']"
0x34a76c49ae53d68a5aae53a16bcdc8081bc175bfb131b3fe657791d4ace7649d,['dc'],[nan]
0x34bf739666ca6c33649a961989f1819aa2479546e240f95b51b782b921e3e7ca,"['dvpc', 'transfer']","[nan, '800000000000000000000000']"
