txnHash,delegateChange,delegateVotingPowerChange,transfer
0x6862286d62de14031b8edecc5504dfb2b3e1c5f5530738596d9cc5a804251c0f,[],"[{'Unnamed: 0': 58, 'id': '1639233109-67', 'txnHash': '0x6862286d62de14031b8edecc5504dfb2b3e1c5f5530738596d9cc5a804251c0f', 'blockTimestamp': 1639233109, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'newBalance': '93516193162043861077197', 'previousBalance': '17371469671429959504392', 'blockNumber': 13784406}]","[{'txnHash': '0x6862286d62de14031b8edecc5504dfb2b3e1c5f5530738596d9cc5a804251c0f', 'from': '0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', 'to': '0x9843C8a8263308A309BfC3C2d1c308126D8E754D', 'value': '76144723490613901572805'}]"
0xe75d62e486cbaca859f95f1ffe9439fe1db6a3db2fe45649c8a3cb05902d298e,[],"[{'Unnamed: 0': 59, 'id': '1639233157-561', 'txnHash': '0xe75d62e486cbaca859f95f1ffe9439fe1db6a3db2fe45649c8a3cb05902d298e', 'blockTimestamp': 1639233157, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'newBalance': '47516193162043861077197', 'previousBalance': '93516193162043861077197', 'blockNumber': 13784408}]","[{'txnHash': '0xe75d62e486cbaca859f95f1ffe9439fe1db6a3db2fe45649c8a3cb05902d298e', 'from': '0x9843C8a8263308A309BfC3C2d1c308126D8E754D', 'to': '0x1f4c763BdE1D4832B3EA0640e66Da00B98831355', 'value': '46000000000000000000000'}]"
0x4a879f5532d1462a8123121241d46b088c14ac1c3a2141b5a789433a8dfb9de1,[],"[{'Unnamed: 0': 60, 'id': '1639233593-243', 'txnHash': '0x4a879f5532d1462a8123121241d46b088c14ac1c3a2141b5a789433a8dfb9de1', 'blockTimestamp': 1639233593, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'newBalance': '1326039284706095552003', 'previousBalance': '47516193162043861077197', 'blockNumber': 13784442}]","[{'txnHash': '0x4a879f5532d1462a8123121241d46b088c14ac1c3a2141b5a789433a8dfb9de1', 'from': '0x9843C8a8263308A309BfC3C2d1c308126D8E754D', 'to': '0x1f4c763BdE1D4832B3EA0640e66Da00B98831355', 'value': '46190153877337765525194'}]"
0x18e135a84fb7db6950190dd21b3a73cba0a5ff8447b1d54229dff6c5e1cc4640,"[{'Unnamed: 0': 16, 'id': '1639306201-199', 'txnHash': '0x18e135a84fb7db6950190dd21b3a73cba0a5ff8447b1d54229dff6c5e1cc4640', 'blockNumber': 13789833, 'blockTimestamp': 1639306201, 'delegate': '0xc5dc6055109b58dabc22d7840689c94252737ba4', 'delegator': '0xc5dc6055109b58dabc22d7840689c94252737ba4', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'Unnamed: 0': 61, 'id': '1639306201-200', 'txnHash': '0x18e135a84fb7db6950190dd21b3a73cba0a5ff8447b1d54229dff6c5e1cc4640', 'blockTimestamp': 1639306201, 'delegate': '0xc5dc6055109b58dabc22d7840689c94252737ba4', 'newBalance': '4568704714317361270299', 'previousBalance': '0', 'blockNumber': 13789833}]",[]
0xc4fa4ff6a353035268b391fa4ea62de8bf05b5f8ff98c7c3eb267acebda27500,[],"[{'Unnamed: 0': 62, 'id': '1639469676-137', 'txnHash': '0xc4fa4ff6a353035268b391fa4ea62de8bf05b5f8ff98c7c3eb267acebda27500', 'blockTimestamp': 1639469676, 'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'newBalance': '5176644681210891256553356', 'previousBalance': '3453934656688652122442076', 'blockNumber': 13802131}]","[{'txnHash': '0xc4fa4ff6a353035268b391fa4ea62de8bf05b5f8ff98c7c3eb267acebda27500', 'from': '0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', 'to': '0x617c34A9B6F080a0f25988DB6C903a8348D41081', 'value': '1722710024522239134111280'}]"
0x593e59564117a4a1a5ac5ec69f41e4aba4786b296a6da90f00f37a1e296420fd,[],"[{'Unnamed: 0': 63, 'id': '1639491500-14', 'txnHash': '0x593e59564117a4a1a5ac5ec69f41e4aba4786b296a6da90f00f37a1e296420fd', 'blockTimestamp': 1639491500, 'delegate': '0x425712a974d4f2802309e0e68d001756363c1c55', 'newBalance': '1678008081771093320785848', 'previousBalance': '1878008081771093320785848', 'blockNumber': 13803773}]","[{'txnHash': '0x593e59564117a4a1a5ac5ec69f41e4aba4786b296a6da90f00f37a1e296420fd', 'from': '0x425712a974D4f2802309e0E68d001756363c1C55', 'to': '0x70E1d75d6A97DC37aA819093BE2e728cd8497E98', 'value': '200000000000000000000000'}]"
0x964d3aa21ede936dd23552e9613f3410ff4700ce6508b582c4f5a92dd29dbfad,[],"[{'Unnamed: 0': 64, 'id': '1639584918-234', 'txnHash': '0x964d3aa21ede936dd23552e9613f3410ff4700ce6508b582c4f5a92dd29dbfad', 'blockTimestamp': 1639584918, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '354879457926426122785796528', 'previousBalance': '355051077126426122785796528', 'blockNumber': 13810727}]","[{'txnHash': '0x964d3aa21ede936dd23552e9613f3410ff4700ce6508b582c4f5a92dd29dbfad', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x1E212e054d74ed136256fc5a5DDdB4867c6E003F', 'value': '171619200000000000000000'}]"
0x914a5091659a3e3915af60fb67aae0561a7e3838c16df26451e7c9d4e2157a15,[],"[{'Unnamed: 0': 65, 'id': '1639731839-63', 'txnHash': '0x914a5091659a3e3915af60fb67aae0561a7e3838c16df26451e7c9d4e2157a15', 'blockTimestamp': 1639731839, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '354679457926426122785796528', 'previousBalance': '354879457926426122785796528', 'blockNumber': 13821753}]","[{'txnHash': '0x914a5091659a3e3915af60fb67aae0561a7e3838c16df26451e7c9d4e2157a15', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x40AdeDc0b097717583eD2C97645eB46e5B58CC78', 'value': '200000000000000000000000'}]"
0x7e85452844abbac53ca57ad26998026f23746d590df1c40204025d9a5d034bea,[],"[{'Unnamed: 0': 66, 'id': '1640001203-379', 'txnHash': '0x7e85452844abbac53ca57ad26998026f23746d590df1c40204025d9a5d034bea', 'blockTimestamp': 1640001203, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'newBalance': '407261055351000700659394', 'previousBalance': '1326039284706095552003', 'blockNumber': 13841850}]","[{'txnHash': '0x7e85452844abbac53ca57ad26998026f23746d590df1c40204025d9a5d034bea', 'from': '0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', 'to': '0x9843C8a8263308A309BfC3C2d1c308126D8E754D', 'value': '405935016066294605107391'}]"
0xeff93a2cbdff6b3238375fe79d71a26e8d057a502d0b2b1821ebe321a80a70f5,[],"[{'Unnamed: 0': 67, 'id': '1640078116-153', 'txnHash': '0xeff93a2cbdff6b3238375fe79d71a26e8d057a502d0b2b1821ebe321a80a70f5', 'blockTimestamp': 1640078116, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'newBalance': '107261055351000700659394', 'previousBalance': '407261055351000700659394', 'blockNumber': 13847670}]","[{'txnHash': '0xeff93a2cbdff6b3238375fe79d71a26e8d057a502d0b2b1821ebe321a80a70f5', 'from': '0x9843C8a8263308A309BfC3C2d1c308126D8E754D', 'to': '0xDaD052f8F88C59907c7bf06DF7252FE35Bf1209A', 'value': '300000000000000000000000'}]"
0xd57bf938e11353d31ee24f84796b44656926c9e2b4937712189fdbe593d0c04f,[],"[{'Unnamed: 0': 68, 'id': '1640082929-232', 'txnHash': '0xd57bf938e11353d31ee24f84796b44656926c9e2b4937712189fdbe593d0c04f', 'blockTimestamp': 1640082929, 'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'newBalance': '6490493932859800439709114', 'previousBalance': '5176644681210891256553356', 'blockNumber': 13848039}]","[{'txnHash': '0xd57bf938e11353d31ee24f84796b44656926c9e2b4937712189fdbe593d0c04f', 'from': '0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', 'to': '0xCF263cEe139763114fAaFC5F52865135412F50Ec', 'value': '1313849251648909183155758'}]"
0x092b1e0a37fd38959f1d97df4650ba67b0f88245b19e17bd7d6369a11f93868a,[],"[{'Unnamed: 0': 69, 'id': '1640185034-298', 'txnHash': '0x092b1e0a37fd38959f1d97df4650ba67b0f88245b19e17bd7d6369a11f93868a', 'blockTimestamp': 1640185034, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '354580319196426122785796528', 'previousBalance': '354679457926426122785796528', 'blockNumber': 13855667}]","[{'txnHash': '0x092b1e0a37fd38959f1d97df4650ba67b0f88245b19e17bd7d6369a11f93868a', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x1E212e054d74ed136256fc5a5DDdB4867c6E003F', 'value': '99138730000000000000000'}]"
