Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,0.0,,14977829.0,1655449098.0,0x3b24ff43f937f93aaf70e85e75501c8d810584608be0a40d3772548b62fa6b4c,0xf08dc92d3ad1116c3111173fc609af7412ce6f1a,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,0.0,,14978264.0,1655455802.0,0x7dca0973369dc9fda27722491b081c1310ad1af95155280347b014f0f4e73464,0xf09b5894b22b59716e4882a90e6a45c5d399101a,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
FOR,2.5e+16,,14984220.0,1655544216.0,0x5dff5f39bb0c97db36d9aba1000923e9d29a5d3e966a128f8449fc4f92f17ec5,0xf11a3703226a02825f23a02c1b3663be8fc46060,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,2.4999999999999996e-09
AGAINST,6900000000000000.0,,14984754.0,1655552257.0,0x0fecfe7d48ddb235c198252e0e726409c3fee8df9ad7f6f722e18e6725b76aa4,0xf194ecca33a31ec318d4bbabcd7fa89e14e003b0,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,6.899999999999999e-10
AGAINST,5.67718e+16,,14973331.0,1655382768.0,0xbf961a2648c28b233452519c9d056a8f623c099d218f2c2bed9538a3e995ad80,0xf1d61eecf6db7d0027add8bc1545420efa23672b,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,5.67718e-09
FOR,4.75e+17,,14979538.0,1655474184.0,0x67fbe894cf3367ef3b41999e216138d2f46beebd2a424bf76c5d1b2d476f83b0,0xf20bb1ea28a496db525efbad28a23003c9d73724,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,4.7499999999999995e-08
FOR,0.0,,14977935.0,1655450583.0,0x8cc2218835234e4bdad6527dcec7040629ff910a7ac539fb27a4f75ac1b3b8d7,0xf2b13d776bcf4c17722af3dda6840ab0c519738c,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
FOR,7.5e+16,,14978039.0,1655452171.0,0x1b59d44c626110a150aaa7cf342b7b83f44f32fb62be303747948ee4f328e646,0xf3bf4cadebee8427f6fc87f4d846f21d78efe2dc,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,7.5e-09
FOR,0.0,,14977841.0,1655449253.0,0xd9815cf619857d077bce6e2822416736f4aa70f1152c5b07e6848231488da9a7,0xf567a2325429ac5aac4f6fe6aa99e208baab71ff,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,2e+17,,14984802.0,1655552853.0,0x76de590d8f72938689779d1adbd2e37af36a33369dcb3114bcf5086ffb816b26,0xf5df7f94806fa50d6a391fb59fa68d751fafa293,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,1.9999999999999997e-08
