Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,0.0,,11907165.0,1614001242.0,0x88ca592c5e9fdf617cb20eae33132e20eb5cd03b54191465fb32767888b637a8,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11907137.0,1614000950.0,0xa367ac281d343ef624abd9c7cd5b1a5654d19fafa4466e93f905ed3a668435ac,0x5a27d268e830655e908a0a2c3b24f572695af5e8,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11900517.0,1613913857.0,0xa9eee697dabee0648e3e4440652cf0d442de7a97b18c51e2006306f0ddcaecfe,0x5e2ce56ecb52e116f7ad626a78830cef733c68d2,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,6.790951927955352e+23,,11908136.0,1614014094.0,0x9fc72aa7c871f970f79d92d713f355975c8799db090539cf0aa0288c420e286e,0x63110383afceb87ff372ec072210741fc57bc1af,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.006791048360842076
FOR,2.7202357623033992e+23,,11899719.0,1613903192.0,0x4eb9eafbc0e80a23ef5dc57e9e761af92084b686d961966f26043a8af9ee17c7,0x6b0807396ca3da7ec2a72cd192693f2251320f92,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.00272027439019974
FOR,5e+21,,11908641.0,1614020897.0,0x50e54824d58751e377975c200901eb021ada4dbefde234d6fc37eae3b97cc71d,0x6bc155645635a794588b7a12fc8d070c4ff7b934,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,5.000071001008214e-05
FOR,0.0,,11907739.0,1614009156.0,0x21e5c631f2b13aa8cc90273bfe64b2e292552ad6e34acc2ad00ea1d15222daa4,0x787fa9a8c6cc1aa8f11197b703d39a17a2e4842b,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11906636.0,1613994525.0,0xbc52e3392f0660cde6b1e9cd48b895ba9251de61c2417578fc15dfc5e6118f18,0x79366aeb2f26c91d68453797ab4de0ef16e2b30d,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11911137.0,1614054573.0,0xeea7e63b099ebe2d59b1fc9de0fc5a151595a6fcdb2cac84f6a76b8195181428,0x7f688e99ee7dbae3d07b1b5f46e8ff3430fe5835,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11910171.0,1614041502.0,0xbfa8565bd1344dc1e308aa04683a728bc2d47802d7c146ce5fa0fb4d772fd303,0x8578213ded28eed513062f9903968e7e83f3c038,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,4.316829258625063e+23,,11912830.0,1614077464.0,0x0ba1be08681464ffd1e542b479483a2d1688fcb24af263c03737936768f28c2e,0x877bfbb6ac1e8803f6964609cb767628346e8ecc,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.004316890558470993
FOR,0.0,,11905412.0,1613977749.0,0x1e43b1952ce7337b781444b93307a2bc5c0cd0773f77116a68ec9f03644da6d7,0x99a9d2c4dbca1ab05631f4bfdf75abc76ca39983,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11905630.0,1613980683.0,0x33daade3442a00ece9d257f8b07ccde960258d9597c8a4368fb5f05fcd167530,0x9d72b1e16999b456053008446b74e3674a2ee1c6,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11909262.0,1614029204.0,0xe276d9231abaacafb511a3832d188d19d4198ff6656cbec1ff023a423bc76440,0x9da8365c01684c36231e288905a82c73ba6e987b,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11910527.0,1614046307.0,0xe02240774b34fa2d995f5c2cf3447886d38585d26797236ad14f6be93b036813,0xa07ae4f9e2d41715416ae074c7a6fe857693de4b,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11914094.0,1614093848.0,0xe772cb6db9ea3fb94463010271ca8d155848b86cfe237c71908cc65e83997382,0xa24e93b119f12c81ec5c100624233ff6e824e3bc,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11905823.0,1613983491.0,0x63f798755405745db40899be590c92f3a40cab1a97839feef715442bb1c404d6,0xa42be0ac2f38f0365e24a7285e22827cbcb90a05,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11900873.0,1613918548.0,0x6160f5e4d15e1705d7b067675dede2f9cf8b1d5d000e130dea1f13f3199efa3b,0xa99c4f924a167cdec1486aa9920de70a48455ab2,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
